num,qid,name
0,Q2036942,Ted Cruz
1,Q324546,Marco Rubio
2,Q69319,John Kasich
3,Q816459,Ben Carson
4,Q221997,Jeb Bush
5,Q463557,Rand Paul
6,Q158813,Mike Huckabee
7,Q256380,Carly Fiorina
8,Q63879,Chris Christie
9,Q705472,Jim Gilmore
10,Q155985,Rick Santorum
11,Q11676,George Pataki
12,Q22212,Lindsey Graham
13,Q295492,Bobby Jindal
14,Q553254,Scott Walker
15,Q215057,Rick Perry
16,Q6294,Hillary Clinton
17,Q359442,Bernie Sanders
18,Q120260,Martin O'Malley
19,Q44690,Lincoln Chafee
20,Q532279,Jim Webb
21,Q217790,Lawrence Lessig
